"date","number_of_strikes","center_point_geom"
"2018-01-08","25","POINT(-92 29.1)"
"2018-01-08","47","POINT(-91 29.1)"
"2018-01-08","43","POINT(-87 29.1)"
"2018-01-08","73","POINT(-91.9 29.2)"
"2018-01-08","55","POINT(-91.8 29.2)"
"2018-01-08","66","POINT(-91.7 29.2)"
"2018-01-08","68","POINT(-91.6 29.2)"
"2018-01-08","79","POINT(-91.5 29.2)"
"2018-01-08","57","POINT(-91.4 29.2)"
"2018-01-08","25","POINT(-91.3 29.2)"
"2018-01-08","79","POINT(-91.1 29.2)"
"2018-01-08","33","POINT(-90.8 29.2)"
"2018-01-08","79","POINT(-89.6 29.2)"
"2018-01-08","52","POINT(-89.5 29.2)"
"2018-01-08","28","POINT(-89.4 29.2)"
"2018-01-08","32","POINT(-88.6 29.2)"
"2018-01-08","58","POINT(-88.5 29.2)"
"2018-01-08","26","POINT(-92.3 29.1)"
"2018-01-08","44","POINT(-91.8 29.1)"
"2018-01-08","109","POINT(-91.7 29.1)"
"2018-01-08","107","POINT(-91.6 29.1)"
"2018-01-08","33","POINT(-91.5 29.1)"
"2018-01-08","119","POINT(-91.4 29.1)"
"2018-01-08","23","POINT(-91.3 29.1)"
"2018-01-08","25","POINT(-91.2 29.1)"
"2018-01-08","51","POINT(-91.1 29.1)"
"2018-01-08","74","POINT(-90.9 29.1)"
"2018-01-08","51","POINT(-90.7 29.1)"
"2018-01-08","48","POINT(-89.5 29.1)"
"2018-01-08","665","POINT(-94.2 29.3)"
"2018-01-08","317","POINT(-94.1 29.3)"
"2018-01-08","25","POINT(-93.9 29.3)"
"2018-01-08","32","POINT(-86.8 29.2)"
"2018-01-08","48","POINT(-86.7 29.2)"
"2018-01-08","118","POINT(-96 29.3)"
"2018-01-08","293","POINT(-95 29.3)"
"2018-01-08","136","POINT(-94 29.3)"
"2018-01-08","35","POINT(-96.1 29.3)"
"2018-01-08","68","POINT(-95.9 29.3)"
"2018-01-08","50","POINT(-95.8 29.3)"
"2018-01-08","140","POINT(-95.7 29.3)"
"2018-01-08","217","POINT(-95.6 29.3)"
"2018-01-08","23","POINT(-96.1 29.2)"
"2018-01-08","36","POINT(-95.9 29.2)"
"2018-01-08","90","POINT(-95.8 29.2)"
"2018-01-08","89","POINT(-95.7 29.2)"
"2018-01-08","58","POINT(-95.6 29.2)"
"2018-01-08","105","POINT(-95.5 29.2)"
"2018-01-08","175","POINT(-95.4 29.2)"
"2018-01-08","155","POINT(-95.3 29.2)"
"2018-01-08","41","POINT(-95.2 29.2)"
"2018-01-08","25","POINT(-95.1 29.2)"
"2018-01-08","328","POINT(-94.9 29.2)"
"2018-01-08","409","POINT(-94.8 29.2)"
"2018-01-08","297","POINT(-94.7 29.2)"
"2018-01-08","276","POINT(-94.6 29.2)"
"2018-01-08","195","POINT(-94.5 29.2)"
"2018-01-08","112","POINT(-94.4 29.2)"
"2018-01-08","106","POINT(-94.3 29.2)"
"2018-01-08","35","POINT(-94.2 29.2)"
"2018-01-08","73","POINT(-93.9 29.2)"
"2018-01-08","56","POINT(-93.8 29.2)"
"2018-01-08","147","POINT(-93.7 29.2)"
"2018-01-08","35","POINT(-93.6 29.2)"
"2018-01-08","96","POINT(-93.4 29.2)"
"2018-01-08","44","POINT(-93.3 29.2)"
"2018-01-08","35","POINT(-91.9 29.3)"
"2018-01-08","142","POINT(-91.8 29.3)"
"2018-01-08","86","POINT(-91.7 29.3)"
"2018-01-08","39","POINT(-91.6 29.3)"
"2018-01-08","110","POINT(-91.5 29.3)"
"2018-01-08","58","POINT(-91.4 29.3)"
"2018-01-08","41","POINT(-91.3 29.3)"
"2018-01-08","36","POINT(-89.6 29.3)"
"2018-01-08","65","POINT(-89.5 29.3)"
"2018-01-08","71","POINT(-89.4 29.3)"
"2018-01-08","51","POINT(-89.3 29.3)"
"2018-01-08","165","POINT(-95 29.4)"
"2018-01-08","510","POINT(-94 29.4)"
"2018-01-08","293","POINT(-95.5 29.3)"
"2018-01-08","198","POINT(-95.4 29.3)"
"2018-01-08","162","POINT(-95.3 29.3)"
"2018-01-08","304","POINT(-95.2 29.3)"
"2018-01-08","262","POINT(-95.1 29.3)"
"2018-01-08","378","POINT(-94.9 29.3)"
"2018-01-08","517","POINT(-94.8 29.3)"
"2018-01-08","316","POINT(-94.7 29.3)"
"2018-01-08","355","POINT(-94.6 29.3)"
"2018-01-08","456","POINT(-94.5 29.3)"
"2018-01-08","674","POINT(-94.4 29.3)"
"2018-01-08","447","POINT(-94.3 29.3)"
"2018-01-08","584","POINT(-94.2 29.4)"
"2018-01-08","592","POINT(-94.1 29.4)"
"2018-01-08","290","POINT(-93.9 29.4)"
"2018-01-08","175","POINT(-93.8 29.4)"
"2018-01-08","135","POINT(-93.7 29.4)"
"2018-01-08","65","POINT(-93.6 29.4)"
"2018-01-08","29","POINT(-93.5 29.4)"
"2018-01-08","23","POINT(-93.4 29.4)"
"2018-01-08","26","POINT(-93.3 29.4)"
"2018-01-08","69","POINT(-91.7 29.4)"
"2018-01-08","47","POINT(-91.6 29.4)"
"2018-01-08","47","POINT(-91.5 29.4)"
"2018-01-08","183","POINT(-91.4 29.4)"
"2018-01-08","71","POINT(-91.3 29.4)"
"2018-01-08","64","POINT(-91.2 29.4)"
"2018-01-08","46","POINT(-89.3 29.4)"
"2018-01-08","189","POINT(-95 29.5)"
"2018-01-08","171","POINT(-94 29.5)"
"2018-01-08","72","POINT(-92 29.5)"
"2018-01-08","44","POINT(-91 29.5)"
"2018-01-08","66","POINT(-93.7 29.3)"
"2018-01-08","56","POINT(-93.6 29.3)"
"2018-01-08","37","POINT(-93.5 29.3)"
"2018-01-08","49","POINT(-93.3 29.3)"
"2018-01-08","49","POINT(-93.2 29.3)"
"2018-01-08","225","POINT(-94.9 29.5)"
"2018-01-08","244","POINT(-94.8 29.5)"
"2018-01-08","321","POINT(-94.7 29.5)"
"2018-01-08","318","POINT(-94.6 29.5)"
"2018-01-08","277","POINT(-94.5 29.5)"
"2018-01-08","274","POINT(-94.4 29.5)"
"2018-01-08","238","POINT(-94.3 29.5)"
"2018-01-08","205","POINT(-94.2 29.5)"
"2018-01-08","248","POINT(-94.1 29.5)"
"2018-01-08","107","POINT(-93.9 29.5)"
"2018-01-08","101","POINT(-93.8 29.5)"
"2018-01-08","66","POINT(-93.7 29.5)"
"2018-01-08","62","POINT(-93.6 29.5)"
"2018-01-08","36","POINT(-93.5 29.5)"
"2018-01-08","90","POINT(-93.4 29.5)"
"2018-01-08","42","POINT(-93.3 29.5)"
"2018-01-08","34","POINT(-93.2 29.5)"
"2018-01-08","62","POINT(-91.4 29.5)"
"2018-01-08","250","POINT(-91.3 29.5)"
"2018-01-08","73","POINT(-91.2 29.5)"
"2018-01-08","25","POINT(-89.6 29.5)"
"2018-01-08","39","POINT(-89.3 29.5)"
"2018-01-08","46","POINT(-89.1 29.5)"
